Sampling_code,Date_Time_of_arrival,Date_Time_of_testing,Date_Time_of_incubation,Sample_Name,Sample_Mass_g,Buffer_Volume_mL,Total_Bag_Mass,Bag_Mass,Notes
0422_B,"2022_04_20, 10:18AM","2022_04_20, 11:00AM","2022_04_20, 12:20PM",H_1,25.87,200.55,,,
0422_B,"2022_04_20, 10:18AM","2022_04_20, 11:00AM","2022_04_20, 12:20PM",H_2,25.86,199.54,,,
0422_B,"2022_04_20, 10:18AM","2022_04_20, 11:00AM","2022_04_20, 12:20PM",H_3,25.22,217.2,,,
0422_B,NA,"2022_04_20, 11:00AM",NA,H_NC,,200,,,"Forgot to take down the actual buffer volume. Assuming it is 200mL, based on the instructions in the protocol to measure 200mL of buffer"
0422_B,"2022_05_04, 10:26AM","2022_05_04, 1:10PM",2022_05_04,DI_1,,199.56,37.71,12.08,
0422_B,"2022_05_04, 10:26AM","2022_05_04, 1:10PM",2022_05_04,DI_2,,199.94,37.47,12.03,
0422_B,"2022_05_04, 10:26AM","2022_05_04, 1:10PM",2022_05_04,DI_3,,204.68,37.92,11.99,
0422_B,"2022_05_04, 10:26AM","2022_05_04, 1:10PM",2022_05_04,DI_NC,,199.04,,,
0422_B,"2022_05_04, 10:26AM","2022_05_06, 11:10AM","2022_05_06, 1:05PM",D7_1,,202.13,37.54,12.06,
0422_B,"2022_05_04, 10:26AM","2022_05_06, 11:10AM","2022_05_06, 1:05PM",D7_2,,200.31,37.73,12.06,
0422_B,"2022_05_04, 10:26AM","2022_05_06, 11:10AM","2022_05_06, 1:05PM",D7_3,,199.71,38.26,12.09,
0422_B,"2022_05_04, 10:26AM","2022_05_06, 11:10AM","2022_05_06, 1:05PM",D7_NC,,204.54,NA,NA,
0422_B,"2022_05_04, 10:26AM","2022_05_13, 11:10AM","2022_05_13, 12:45PM",D12_1,,199.59,37.27,12.12,
0422_B,"2022_05_04, 10:26AM","2022_05_13, 11:10AM","2022_05_13, 12:45PM",D12_2,,201.82,37.13,12.07,
0422_B,"2022_05_04, 10:26AM","2022_05_13, 11:10AM","2022_05_13, 12:45PM",D12_3,,210.26,37.1,12.06,
0422_B,"2022_05_04, 10:26AM","2022_05_13, 11:10AM","2022_05_13, 12:45PM",D12_NC,,204.99,NA,NA,
0522_A,"2022_05_03, 11:16AM","2022_05_03, 5:15PM","2022_05_03, 7:10PM",H_1,25.4,199.07,NA,NA,
0522_A,"2022_05_03, 11:16AM","2022_05_03, 5:15PM","2022_05_03, 7:10PM",H_2,25.61,199.88,NA,NA,
0522_A,"2022_05_03, 11:16AM","2022_05_03, 5:15PM","2022_05_03, 7:10PM",H_3,25.5,208.15,NA,NA,
0522_A,"2022_05_03, 11:16AM","2022_05_03, 5:15PM","2022_05_03, 7:10PM",H_NC,,207.43,NA,NA,
0522_A,"2022_05_12, 10:10AM","2022_05_12, 12:40PM","2022_05_12, 3:40PM",DI_1,,207.62,37.56,12.18,
0522_A,"2022_05_12, 10:10AM","2022_05_12, 12:40PM","2022_05_12, 3:40PM",DI_2,,212.73,37.19,12.1,
0522_A,"2022_05_12, 10:10AM","2022_05_12, 12:40PM","2022_05_12, 3:40PM",DI_3,,200.8,37.82,12.07,
0522_A,"2022_05_12, 10:10AM","2022_05_12, 12:40PM","2022_05_12, 3:40PM",DI_NC,,200.97,,,
0522_A,"2022_05_12, 10:10AM","2022_05_17, 11:15AM","2022_05_17, 12:30PM",D7_1,,203.79,38.04,12.13,
0522_A,"2022_05_12, 10:10AM","2022_05_17, 11:15AM","2022_05_17, 12:30PM",D7_2,,201.25,37.81,12.16,
0522_A,"2022_05_12, 10:10AM","2022_05_17, 11:15AM","2022_05_17, 12:30PM",D7_3,,202.33,37.71,12.12,
0522_A,"2022_05_12, 10:10AM","2022_05_17, 11:15AM","2022_05_17, 12:30PM",D7_NC,,200.65,,,
0522_B,"2022_05_10, 10:13AM","2022_05_10, 11:09AM","2022_05_10, ~1:30PM",H_1,,200,37.56,12.13,
0522_B,"2022_05_10, 10:13AM","2022_05_10, 11:09AM","2022_05_10, ~1:30PM",H_2,,200.04,37.48,12.06,
0522_B,"2022_05_10, 10:13AM","2022_05_10, 11:09AM","2022_05_10, ~1:30PM",H_3,,202.72,37.58,12.09,
0522_B,"2022_05_10, 10:13AM","2022_05_10, 11:09AM","2022_05_10, ~1:30PM",H_NC,,202.61,NA,NA,
0522_B,"2022_05_20, 10:21AM","2022_05_20, 11:30AM","2022_05_20, 12:35",DI_1,,210.37,37.02,12.06,
0522_B,"2022_05_20, 10:21AM","2022_05_20, 11:30AM","2022_05_20, 12:36",DI_2,,201,37.93,12.15,
0522_B,"2022_05_20, 10:21AM","2022_05_20, 11:30AM","2022_05_20, 12:37",DI_3,,199.28,37.43,12.12,
0522_B,"2022_05_20, 10:21AM","2022_05_20, 11:30AM","2022_05_20, 12:38",DI_NC,,203.21,NA,NA,
0522_B,"2022_05_20, 10:21AM","2022_05_25, 11:00AM","2022_05_25, 12:30PM",D7_1,,200.16,38.17,12.09,
0522_B,"2022_05_20, 10:21AM","2022_05_25, 11:00AM","2022_05_25, 12:30PM",D7_2,,203.53,37.38,12.06,
0522_B,"2022_05_20, 10:21AM","2022_05_25, 11:00AM","2022_05_25, 12:30PM",D7_3,,204.7,38.81,12.15,
0522_B,"2022_05_20, 10:21AM","2022_05_25, 11:00AM","2022_05_25, 12:30PM",D7_NC,,202.54,NA,NA,
0522_B,"2022_05_20, 10:21AM","2022_06_01, 11:15AM","2022_06_01, 12:45PM",D12_1,,206.69,37.83,12.14,
0522_B,"2022_05_20, 10:21AM","2022_06_01, 11:15AM","2022_06_01, 12:45PM",D12_2,,200.63,37.1,12.21,
